[22028, Omerta, Mario Puzo, 3.71, 345432401, 9.78035E+12, eng, 369, 12374, 330, 5/1/2001, Ballantine Books]
[43841, When Christ and His Saints Slept  (Henry II and Eleanor of Aquitaine  #1), Sharon Kay Penman, 4.27, 345396685, 9.78035E+12, eng, 784, 12022, 648, 2/6/1996, Ballantine Books]
[43814, The Vampire Lestat (The Vampire Chronicles  #2), Anne Rice, 4.07, 345476883, 9.78035E+12, eng, 481, 156354, 2720, 8/31/2004, Ballantine Books]
[43808, Anne Rice's The Vampire Lestat: A Graphic Novel, Faye Perozich/Anne Rice/John Bolton/Daerick Gröss, 4.2, 345373944, 9.78035E+12, eng, 404, 70039, 138, 11/30/1991, Ballantine Books]
[11503, In the Beginning, Chaim Potok, 4.08, 044900113X, 9.78045E+12, eng, 416, 2222, 120, 9/10/1997, Ballantine Books]
[11502, The Gift of Asher Lev, Chaim Potok, 4.16, 449001156, 9.78045E+12, eng, 384, 6224, 339, 9/10/1997, Ballantine Books]
[24804, A Parchment of Leaves, Silas House, 4.18, 345464974, 9.78035E+12, eng, 304, 3192, 357, 8/26/2003, Ballantine Books]
[40021, A Slipping-Down Life, Anne Tyler, 3.61, 345478959, 9.78035E+12, eng, 192, 3335, 142, 5/4/2004, Ballantine Books]
[40020, A Patchwork Planet, Anne Tyler, 3.79, 080411918X, 9.7808E+12, eng, 320, 11355, 571, 5/1/2001, Ballantine Books]
[28356, I'm the One That I Want, Margaret Cho, 3.69, 345440145, 9.78035E+12, eng, 228, 1459, 132, 4/30/2002, Ballantine Books]
[39099, The Courtesan (The Dark Queen Saga  #2), Susan Carroll, 3.9, 345437977, 9.78035E+12, eng, 560, 2218, 104, 7/26/2005, Ballantine Books]
[7681, Five Patients, Michael Crichton, 3.48, 345354648, 9.78035E+12, eng, 204, 4828, 97, 1/13/1989, Ballantine Books]
[7684, Twister, Michael Crichton/Anne-Marie Martin, 3.63, 345409701, 9.78035E+12, eng, 182, 18, 1, 4/7/1999, Ballantine Books]
[10165, Anatomy of Love: A Natural History of Mating  Marriage  and Why We Stray, Helen Fisher, 3.94, 449908976, 9.78045E+12, en-US, 432, 501, 36, 1/3/1994, Ballantine Books]
[11663, Rabbit Novels: Rabbit  Run and Rabbit Redux, John Updike, 3.98, 345464567, 9.78035E+12, eng, 640, 811, 55, 11/4/2003, Ballantine Books]
[5176, While I Was Gone, Sue Miller, 3.69, 345443284, 9.78035E+12, eng, 304, 56320, 1185, 5/12/2000, Ballantine Books]
[5171, Drowning Ruth, Christina Schwarz, 3.74, 345439104, 9.78035E+12, eng, 368, 74161, 2159, 7/31/2001, Ballantine Books]
[5190, Open House, Elizabeth Berg, 3.7, 345435168, 9.78035E+12, eng, 272, 54119, 1629, 5/1/2001, Ballantine Books]
[16450, Your Oasis on Flame Lake, Lorna Landvik, 3.59, 449002985, 9.78045E+12, eng, 320, 2194, 129, 6/16/1998, Ballantine Books]
[16452, The Tall Pine Polka / Your Oasis on Flame Lake, Lorna Landvik, 3.99, 345487664, 9.78035E+12, eng, 752, 177, 7, 10/4/2005, Ballantine Books]
[16448, Welcome to the Great Mysterious, Lorna Landvik, 3.78, 345442741, 9.78035E+12, eng, 368, 2432, 202, 1/2/2002, Ballantine Books]
[16449, Oh My Stars, Lorna Landvik, 3.89, 345468368, 9.78035E+12, eng, 416, 5500, 514, 2/28/2006, Ballantine Books]
[6553, The Manhattan Hunt Club, John Saul, 3.98, 345490649, 9.78035E+12, eng, 384, 4889, 221, 3/28/2006, Ballantine Books]
[6552, Midnight Voices, John Saul/Joe Blades, 3.75, 449006530, 9.78045E+12, eng, 384, 2756, 142, 3/4/2003, Ballantine Books]
[6546, Perfect Nightmare, John Saul, 3.89, 345467329, 9.78035E+12, eng, 384, 3721, 236, 4/25/2006, Ballantine Books]
[6545, In the Dark of the Night, John Saul, 3.88, 034548701X, 9.78035E+12, eng, 324, 4278, 178, 7/18/2006, Ballantine Books]
[6557, The Presence, John Saul, 3.76, 449002411, 9.78045E+12, eng, 432, 2699, 90, 4/29/1998, Ballantine Books]
